date,location,min,max
2019-11-04,Guardian Shelter,1.5506420690902514,3.5038633590890607
2019-11-04,Lighthouse Clinic,2.3991440267956827,3.4172693403462633
2019-11-04,Lions Sight,1.861318051575931,2.343130553656869
2019-11-04,Malaria,1.7764970480742197,1.8981361074989165
2019-11-04,Mercy James,1.5513948698745554,2.2065172270651723
2019-11-04,Ward 6B,1.5768220617202888,2.2962477040146947
2019-11-04,uMoyo,1.1825721426948421,3.9315375982042644
2019-11-05,Administration,2.54998099581908,3.367463026166098
2019-11-05,Guardian Shelter,1.3158112368842714,2.8639959173258487
2019-11-05,Lighthouse Clinic,2.2396793587174346,3.0833586395384147
2019-11-05,Lions Sight,2.1724273369992146,3.2706722189173107
2019-11-05,Malaria,1.7131782945736433,1.9491753618310332
2019-11-05,Mercy James,1.6843070980202801,2.122327081591208
2019-11-05,Ward 6B,1.7395061728395063,2.547319932998325
2019-11-05,uMoyo,1.4549945115257958,4.593434343434343
2019-11-06,Administration,1.5365853658536588,2.926406926406926
2019-11-06,Guardian Shelter,1.5115149833518313,9.068247895944912
2019-11-06,Lighthouse Clinic,1.709280182810715,3.059907010014306
2019-11-06,Lions Sight,2.200096899224806,3.549937317175094
2019-11-06,Malaria,1.5218370103556955,1.9689742996063904
2019-11-06,Mercy James,1.7981961668545658,2.4127382146439316
2019-11-06,Ward 6B,2.1794563387057972,4.552631578947369
2019-11-06,uMoyo,1.810207336523126,2.664570230607967
2019-11-07,Administration,1.7485074626865673,2.7648456057007125
2019-11-07,Guardian Shelter,1.349623882291716,2.6330985915492957
2019-11-07,Lighthouse Clinic,1.5664422722242717,3.0958036421219317
2019-11-07,Lions Sight,1.9639696586599242,3.5609296482412063
2019-11-07,Malaria,1.6441662941439428,2.458281053952321
2019-11-07,Mercy James,1.744370308590492,3.5606860158311346
2019-11-07,Ward 6B,1.6251247165532878,8.932733504712939
2019-11-07,uMoyo,1.5759732105483466,2.6087182148417227
2019-11-08,Administration,1.7110266159695817,2.486462415390096
2019-11-08,Guardian Shelter,1.5048272002238703,7.402401695314339
2019-11-08,Lighthouse Clinic,1.921219307632241,3.943262411347518
2019-11-08,Lions Sight,2.140983606557377,5.267811158798283
2019-11-08,Malaria,1.8082731451083387,3.3731911652703737
2019-11-08,Mercy James,2.0856954515491104,4.008919722497523
2019-11-08,Ward 6B,1.5712868832134887,5.767722473604827
2019-11-08,uMoyo,1.4237086407998096,4.152439024390244
2019-11-09,Administration,1.7647544366487826,4.762979683972912
2019-11-09,Guardian Shelter,1.281337513061651,2.602067777139575
2019-11-09,Lighthouse Clinic,1.9190254237288136,2.7467329386797723
2019-11-09,Lions Sight,3.4854423292273236,5.7705882352941185
2019-11-09,Malaria,2.1857734806629834,4.143037974683544
2019-11-09,Mercy James,2.9015151515151514,4.804587155963302
2019-11-09,Ward 6B,2.5384615384615383,3.7227138643067845
2019-11-09,uMoyo,1.3876156011258542,1.8197152245345016
2019-11-10,Administration,2.137950610275333,4.1722027972027975
2019-11-10,Guardian Shelter,1.1571083708488288,3.571350613915416
2019-11-10,Lighthouse Clinic,2.1429482462595044,2.854238613409787
2019-11-10,Lions Sight,2.402424716464607,5.582693649685973
2019-11-10,Malaria,1.5405693950177934,2.9915708812260533
2019-11-10,Mercy James,1.8588838999358561,4.616493194555645
2019-11-10,Ward 6B,1.5365159658552008,3.8028430160692213
2019-11-10,uMoyo,1.429590017825312,3.8808618504436
2019-11-11,Administration,1.8226221079691518,2.4943951424567956
2019-11-11,Guardian Shelter,1.163731778425656,1.5115389075727708
2019-11-11,Lighthouse Clinic,1.3554253803850544,2.648464912280702
2019-11-11,Lions Sight,2.155894590846047,3.213864975079293
2019-11-11,Malaria,1.4407425035697285,1.7183657278857596
2019-11-11,Mercy James,1.737527114967462,2.211574074074074
2019-11-11,Ward 6B,1.9047619047619049,2.5984555984555984
2019-11-11,uMoyo,1.773995915588836,3.8870967741935485
2019-11-12,Administration,1.9908424908424909,2.656164383561644
2019-11-12,Guardian Shelter,1.4618320610687023,2.0548676345004266
2019-11-12,Lighthouse Clinic,1.6347414496521777,4.237179487179487
2019-11-12,Lions Sight,2.3512807109252485,3.528291316526611
2019-11-12,Malaria,1.4380453752181501,1.8142517814726842
2019-11-12,Mercy James,1.4398625429553265,1.9949590422180212
2019-11-12,Ward 6B,1.7470229451060122,3.522296015180266
2019-11-12,uMoyo,1.775655644241733,2.8835489833641406
2019-11-13,Administration,2.236385639370714,2.775623268698061
2019-11-13,Guardian Shelter,1.2158375366762273,2.418465626037861
2019-11-13,Lighthouse Clinic,2.1153978642783327,4.081223922114047
2019-11-13,Lions Sight,2.3391434262948207,3.159706546275395
2019-11-13,Malaria,1.6265060240963856,2.2108879492600426
2019-11-13,Mercy James,1.3771929824561404,1.9273356401384083
2019-11-13,Ward 6B,1.3747009990150556,2.7137243895593604
2019-11-13,uMoyo,2.7171457905544143,3.777707006369427
2019-11-14,Administration,2.3118374558303887,2.747651579846285
2019-11-14,Guardian Shelter,1.1750440917107583,1.4714535028671156
2019-11-14,Lighthouse Clinic,1.9332312571772297,2.7029824741211437
2019-11-14,Lions Sight,2.3150782361308675,3.222292191435768
2019-11-14,Malaria,1.5818795723128867,2.7686294945284002
2019-11-14,Mercy James,1.4172661870503598,1.9054545454545455
2019-11-14,Ward 6B,1.3025210084033614,1.9665114613180514
2019-11-14,uMoyo,2.4963750604156596,4.280692549842603
2019-11-15,Administration,2.389705882352941,4.089874857792947
2019-11-15,Guardian Shelter,1.1174697873642345,1.2978742328559993
2019-11-15,Lions Sight,3.6175748649975454,5.450124069478909
